1,odpt.RailwayDirection:TokyoMetro.Ginza.Shibuya,odpt.RailDirection:TokyoMetro.Shibuya,1,1,"2015-01-29 02:16:02.513804","2015-01-29 02:16:02.513804",A
2,odpt.RailwayDirection:TokyoMetro.Ginza.Asakusa,odpt.RailDirection:TokyoMetro.Asakusa,1,19,"2015-01-29 02:16:02.791812","2015-01-29 02:16:02.791812",B
3,odpt.RailwayDirection:TokyoMetro.Marunouchi.Ogikubo,odpt.RailDirection:TokyoMetro.Ogikubo,2,20,"2015-01-29 02:16:02.998819","2015-01-29 02:16:02.998819",A
4,odpt.RailwayDirection:TokyoMetro.Marunouchi.Ikebukuro,odpt.RailDirection:TokyoMetro.Ikebukuro,2,44,"2015-01-29 02:16:03.286828","2015-01-29 02:16:03.286828",B
5,odpt.RailwayDirection:TokyoMetro.Marunouchi.Honancho,odpt.RailDirection:TokyoMetro.Honancho,2,45,"2015-01-29 02:16:03.550836","2015-01-29 02:16:03.550836",
6,odpt.RailwayDirection:TokyoMetro.Marunouchi.NakanoSakaue,odpt.RailDirection:TokyoMetro.NakanoSakaue,2,25,"2015-01-29 02:16:03.890846","2015-01-29 02:16:03.890846",
7,odpt.RailwayDirection:TokyoMetro.MarunouchiBranch.Honancho,odpt.RailDirection:TokyoMetro.Honancho,3,45,"2015-01-29 02:16:04.236856","2015-01-29 02:16:04.236856",A
8,odpt.RailwayDirection:TokyoMetro.MarunouchiBranch.NakanoSakaue,odpt.RailDirection:TokyoMetro.NakanoSakaue,3,48,"2015-01-29 02:16:04.487864","2015-01-29 02:16:04.487864",B
9,odpt.RailwayDirection:TokyoMetro.MarunouchiBranch.Ogikubo,odpt.RailDirection:TokyoMetro.Ogikubo,3,20,"2015-01-29 02:16:04.739872","2015-01-29 02:16:04.739872",B
10,odpt.RailwayDirection:TokyoMetro.MarunouchiBranch.Ikebukuro,odpt.RailDirection:TokyoMetro.Ikebukuro,3,44,"2015-01-29 02:16:04.961879","2015-01-29 02:16:04.961879",B
11,odpt.RailwayDirection:TokyoMetro.Hibiya.NakaMeguro,odpt.RailDirection:TokyoMetro.NakaMeguro,4,49,"2015-01-29 02:16:05.181885","2015-01-29 02:16:05.181885",A
12,odpt.RailwayDirection:TokyoMetro.Hibiya.KitaSenju,odpt.RailDirection:TokyoMetro.KitaSenju,4,69,"2015-01-29 02:16:05.434893","2015-01-29 02:16:05.434893",B
