1,"銀座線","銀座線","東京メトロ銀座線","銀座線","ぎんざせん","Ginza Line","Ginza Line","Tokyo Metro Ginza Line","Ginza Line",1,odpt.Railway:TokyoMetro.Ginza,,#f39700,ginza,G,,,,"2015-01-29 02:06:22.220106","2015-04-20 15:30:28.433373",,f,,f,
2,"丸ノ内線","丸ノ内線","東京メトロ丸ノ内線","丸ノ内線","まるのうちせん","Marunouchi Line","Marunouchi Line","Tokyo Metro Marunouchi Line","Marunouchi Line",1,odpt.Railway:TokyoMetro.Marunouchi,,#e60012,marunouchi,M,,,,"2015-01-29 02:06:22.347109","2015-04-20 15:30:28.632381",,f,,t,3
3,"丸ノ内線（中野坂上 - 方南町）","丸ノ内線（中野坂上 - 方南町）","東京メトロ丸ノ内線（中野坂上 - 方南町）","丸ノ内線（中野坂上 - 方南町）","まるのうちせん","Marunouchi Line (Nakano-sakaue - Honancho)","Marunouchi Line (Nakano-sakaue - Honancho)","Tokyo Metro Marunouchi Line (Nakano-sakaue - Honancho)","Marunouchi Line (Nakano-sakaue - Honancho)",1,odpt.Railway:TokyoMetro.MarunouchiBranch,,#e60012,marunouchi_branch,m,,,,"2015-01-29 02:06:22.478113","2015-02-23 07:27:26.489234",,t,2,f,
4,"日比谷線","日比谷線","東京メトロ日比谷線","日比谷線","ひびやせん","Hibiya Line","Hibiya Line","Tokyo Metro Hibiya Line","Hibiya Line",1,odpt.Railway:TokyoMetro.Hibiya,,#9caeb7,hibiya,H,,,,"2015-01-29 02:06:22.614118","2015-04-20 15:30:28.771386",,f,,f,
5,"東西線","東西線","東京メトロ東西線","東西線","とうざいせん","Tozai Line","Tozai Line","Tokyo Metro Tozai Line","Tozai Line",1,odpt.Railway:TokyoMetro.Tozai,,#00a7db,tozai,T,,,,"2015-01-29 02:06:22.746122","2015-04-20 15:30:28.878390",,f,,f,
6,"千代田線","千代田線","東京メトロ千代田線","千代田線","ちよだせん","Chiyoda Line","Chiyoda Line","Tokyo Metro Chiyoda Line","Chiyoda Line",1,odpt.Railway:TokyoMetro.Chiyoda,,#009945,chiyoda,C,,,,"2015-01-29 02:06:22.878126","2015-04-20 15:30:28.974394",,f,,t,7
7,"千代田線（綾瀬 - 北綾瀬）","千代田線（綾瀬 - 北綾瀬）","東京メトロ千代田線（綾瀬 - 北綾瀬）","千代田線（綾瀬 - 北綾瀬）","ちよだせん","Chiyoda Line (Ayase - Kita-ayase)","Chiyoda Line (Ayase - Kita-ayase)","Tokyo Metro Chiyoda Line (Ayase - Kita-ayase)","Chiyoda Line (Ayase - Kita-ayase)",1,odpt.Railway:TokyoMetro.ChiyodaBranch,,#009945,chiyoda_branch,C,,,,"2015-01-29 02:06:23.021130","2015-02-23 07:27:41.040750",,t,6,f,
8,"有楽町線","有楽町線","東京メトロ有楽町線","有楽町線","ゆうらくちょうせん","Yurakucho Line","Yurakucho Line","Tokyo Metro Yurakucho Line","Yurakucho Line",1,odpt.Railway:TokyoMetro.Yurakucho,,#d7c447,yurakucho,Y,,,,"2015-01-29 02:06:23.153134","2015-04-20 15:30:29.075398",,f,,f,
9,"半蔵門線","半蔵門線","東京メトロ半蔵門線","半蔵門線","はんぞうもんせん","Hanzomon Line","Hanzomon Line","Tokyo Metro Hanzomon Line","Hanzomon Line",1,odpt.Railway:TokyoMetro.Hanzomon,,#9b7cb6,hanzomon,Z,,,,"2015-01-29 02:06:23.285138","2015-04-20 15:30:29.161401",,f,,f,
10,"南北線","南北線","東京メトロ南北線","南北線","なんぼくせん","Namboku Line","Namboku Line","Tokyo Metro Namboku Line","Namboku Line",1,odpt.Railway:TokyoMetro.Namboku,,#00ada9,namboku,N,,,,"2015-01-29 02:06:23.418142","2015-04-20 15:30:29.263405",,f,,f,
