1,"運転見合わせ","Operation is suspended.","運転見合わせ","2015-01-29 02:06:16.986946","2015-03-30 05:16:17.549295"
2,"折返し運転","Shuttle service is provided in section with no effect by accidents.","折返し運転","2015-01-29 02:06:17.119950","2015-03-30 05:17:14.534460"
3,"ダイヤ乱れ","Trains are behind schedule.","ダイヤ乱れ","2015-01-29 02:06:17.260954","2015-03-30 05:17:52.262894"
4,"運転再開・ダイヤ乱れ","Operation has resumed but behind schedule.","運転再開・ダイヤ乱れ","2015-01-29 02:06:17.415959","2015-03-30 05:14:48.132897"
5,"遅延","Trains are delayed.","遅延","2015-01-29 02:06:17.547963","2015-03-30 05:18:37.004594"
6,"一部列車 遅延","Some trains are delayed.","一部列車遅延","2015-01-29 02:06:17.712968","2015-03-30 05:18:51.221134"
7,"直通運転 中止","Through operation through to other railway operator(s) is stopped.","直通運転中止","2015-01-29 02:06:17.877973","2015-03-30 05:20:31.071929"
8,"快速 運転中止","Rapid trains are canceled.","快速運転中止","2015-01-29 02:06:18.010977","2015-03-30 05:21:50.146933"
9,"準急 運転中止","Semi express trains are canceled.","準急運転中止","2015-01-29 02:06:18.141981","2015-03-30 05:21:55.619141"
10,"急行 運転中止","Express trains are canceled.","急行運転中止","2015-01-29 02:06:18.285986","2015-03-30 05:22:07.990611"
11,"通勤急行 運転中止","Commuter express trains are canceled.","通勤急行運転中止","2015-01-29 02:06:18.394989","2015-03-30 05:22:21.275116"
12,"直通運転 再開","Through operation through to other railway operator(s) has resumed.","直通運転再開","2015-01-29 02:06:18.527993","2015-03-30 05:23:29.094693"
13,"快速 運転再開","Operation of rapid trains has resumed.","快速運転再開","2015-01-29 02:06:18.648997","2015-03-30 05:23:35.384932"
14,"準急 運転再開","Operation of semi express trains has resumed.","準急運転再開","2015-01-29 02:06:18.759000","2015-03-30 05:23:53.953638"
15,"急行 運転再開","Operation of express trains has resumed.","急行運転再開","2015-01-29 02:06:18.869003","2015-03-30 05:24:00.676893"
16,"通勤急行 運転再開","Operation of commuter express trains has resumed.","通勤急行運転再開","2015-01-29 02:06:18.979007","2015-03-30 05:24:17.818545"
17,"女性専用車両 中止","Women only cars are not supplyed.","女性専用車両中止","2015-01-29 02:06:19.089010","2015-03-30 05:11:44.684927"
18,"運転再開見込","Operation will soon resume.","運転再開見込","2015-01-29 02:06:19.210014","2015-03-30 05:11:03.501362"
19,"運転再開","Operation has resumed.","運転再開","2015-01-29 02:06:19.320017","2015-03-30 05:14:12.606547"
20,"運転規制","Operation is regulated.","運転規制","2015-01-29 02:06:19.430020","2015-03-30 05:12:54.370575"
21,"速度規制","The speed of trains is regulated.","速度規制","2015-01-29 02:06:19.590025","2015-03-30 05:13:18.086476"
22,"運休","Operation is stopped.","運休","2015-01-29 02:06:19.694028","2015-03-30 05:24:48.594714"
